,image,class,set
61,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237924649-77705.JPG,42,train
62,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237926243-3373.JPG,8,train
63,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237926243-3374.JPG,8,train
64,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237927340-151620.JPG,43,train
65,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237928190-151642.JPG,44,train
66,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237928227-301058.JPG,34,train
67,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237928242-301059.JPG,45,train
68,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237931470-151730.JPG,46,train
69,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237931493-3563.JPG,42,train
70,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237931603-3571.JPG,47,train
71,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237932020-151751.JPG,44,train
72,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237933141-225972.JPG,48,train
73,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237934024-78001.JPG,21,train
74,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237934894-78012.JPG,19,train
75,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237936157-301221.JPG,49,train
76,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237937415-151838.JPG,50,train
77,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237938968-3694.JPG,51,train
78,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237939132-301286.JPG,52,train
79,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237941790-151924.JPG,53,train
80,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237942286-226150.JPG,53,train
81,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237943302-301409.JPG,54,train
82,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237943303-3814.JPG,55,train
83,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237943303-3815.JPG,55,train
84,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237943586-226196.JPG,56,train
85,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237945320-152044.JPG,47,train
86,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237945765-152063.JPG,57,train
87,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237945783-3882.JPG,58,train
88,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237946825-152095.JPG,0,train
89,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237947542-301551.JPG,56,train
90,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237956786-226760.JPG,55,train
91,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237956984-78829.JPG,10,train
92,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237957552-302037.JPG,55,train
93,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237957849-78886.JPG,59,train
94,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237957849-78887.JPG,59,train
95,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237957862-302064.JPG,48,train
96,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237957919-78894.JPG,56,train
97,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237957960-152685.JPG,60,train
98,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237958100-152702.JPG,16,train
99,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237958884-78958.JPG,13,train
100,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237958954-78966.JPG,61,train
101,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237958994-78967.JPG,14,train
102,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237958994-78968.JPG,14,train
103,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237959446-226954.JPG,29,train
104,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237959480-152808.JPG,62,train
105,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237960057-302207.JPG,56,train
106,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237960759-79068.JPG,63,train
107,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237960871-227050.JPG,11,train
108,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237960935-152925.JPG,64,train
109,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237960995-152929.JPG,5,train
110,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237961340-152950.JPG,23,train
111,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237961644-79135.JPG,6,train
112,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237962200-153004.JPG,64,train
113,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237962660-153039.JPG,41,train
114,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237962818-4790.JPG,14,train
115,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237963014-79203.JPG,65,train
116,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237963128-4817.JPG,66,train
117,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237963243-4824.JPG,67,train
118,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237963588-4849.JPG,68,train
119,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237963651-227222.JPG,69,train
120,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237963676-227230.JPG,70,train
121,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237964033-4883.JPG,71,train
122,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237964114-79263.JPG,72,train
123,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237964118-4887.JPG,15,train
124,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237964296-227279.JPG,73,train
125,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237964400-153141.JPG,64,train
126,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237964818-4930.JPG,27,train
127,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237965041-227331.JPG,74,train
128,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237965076-227334.JPG,75,train
129,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237965220-153200.JPG,10,train
130,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237965297-302511.JPG,14,train
131,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237965585-153218.JPG,75,train
132,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237965666-227369.JPG,21,train
133,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237965764-79359.JPG,76,train
134,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237966146-227396.JPG,77,train
135,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237966414-79386.JPG,11,train
136,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237966452-302576.JPG,15,train
137,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237966912-302598.JPG,56,train
138,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237966928-5033.JPG,24,train
139,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237967813-5074.JPG,21,train
140,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237967953-5077.JPG,64,train
141,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237968009-79448.JPG,78,train
142,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237968264-79460.JPG,79,train
143,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237968640-153353.JPG,57,train
144,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237968926-227502.JPG,80,train
145,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237969361-227517.JPG,81,train
146,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237969793-5145.JPG,11,train
147,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237969854-79518.JPG,82,train
148,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237969863-5148.JPG,14,train
149,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237970730-153412.JPG,83,train
150,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237972602-302781.JPG,21,train
151,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237972729-79609.JPG,84,train
152,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237973127-302800.JPG,85,train
153,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237973294-79637.JPG,86,train
154,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237973465-153515.JPG,48,train
155,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237973987-302844.JPG,81,train
156,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237974439-79678.JPG,19,train
157,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237974467-302855.JPG,86,train
158,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237974747-302872.JPG,9,train
159,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237974801-227702.JPG,87,train
160,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237974819-79699.JPG,14,train
161,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2237977483-5368.JPG,61,train
162,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238011512-302939.JPG,88,train
163,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238044688-5459.JPG,89,train
164,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238049703-5474.JPG,18,train
165,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238050033-5479.JPG,69,train
166,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238050816-227905.JPG,19,train
167,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238052733-5561.JPG,16,train
168,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238052790-153829.JPG,34,train
169,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238053029-79951.JPG,11,train
170,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238054488-5596.JPG,69,train
171,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238065024-79981.JPG,56,train
172,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238065769-79990.JPG,31,train
173,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238066663-5623.JPG,43,train
174,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238066779-80001.JPG,86,train
175,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238067059-80010.JPG,90,train
176,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238067747-303214.JPG,91,train
177,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238067859-80036.JPG,27,train
178,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238068226-228063.JPG,67,train
179,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238068278-5684.JPG,9,train
180,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238068288-5686.JPG,51,train
181,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238068523-5699.JPG,92,train
182,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238068923-5717.JPG,42,train
183,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238069121-228099.JPG,93,train
184,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238069124-80088.JPG,86,train
185,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238069272-303274.JPG,18,train
186,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238069324-80096.JPG,81,train
187,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238069514-80103.JPG,14,train
188,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238069740-153999.JPG,9,train
189,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238070619-80139.JPG,94,train
190,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238085338-5828.JPG,15,train
191,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238085629-80221.JPG,95,train
192,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238087191-228296.JPG,68,train
193,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238087757-303460.JPG,45,train
194,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238087832-303466.JPG,96,train
195,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238090706-228379.JPG,54,train
196,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238091043-6009.JPG,97,train
197,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238094318-6106.JPG,98,train
198,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238117219-80511.JPG,99,train
199,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238119672-303781.JPG,44,train
200,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238120014-80583.JPG,69,train
201,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238120367-303799.JPG,100,train
202,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238120683-6275.JPG,45,train
203,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238120683-6276.JPG,45,train
204,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238122990-154570.JPG,44,train
205,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238123200-154577.JPG,58,train
206,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238124253-6380.JPG,101,train
207,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238124813-6407.JPG,100,train
208,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238125085-154642.JPG,102,train
209,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238125751-228767.JPG,103,train
210,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238125827-303982.JPG,104,train
211,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238126230-154695.JPG,53,train
212,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238127591-228861.JPG,44,train
213,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238127631-228863.JPG,31,train
214,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238128211-228896.JPG,56,train
215,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238129237-304152.JPG,52,train
216,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238131130-154899.JPG,56,train
217,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238131531-229047.JPG,52,train
218,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238132039-81024.JPG,105,train
219,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238132118-6726.JPG,2,train
220,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238132559-81053.JPG,45,train
221,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238132818-6750.JPG,0,train
222,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238133809-81107.JPG,103,train
223,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238134748-6841.JPG,2,train
224,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238134917-304405.JPG,104,train
225,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238135747-304443.JPG,2,train
226,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238137022-304512.JPG,2,train
227,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238138443-7033.JPG,106,train
228,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238142882-304873.JPG,1,train
229,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238143218-7287.JPG,103,train
230,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238143509-81619.JPG,89,train
231,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238144674-81704.JPG,56,train
232,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238145608-7479.JPG,75,train
233,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238145656-229831.JPG,86,train
234,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238146075-155706.JPG,107,train
235,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238146078-7532.JPG,30,train
236,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238146103-7534.JPG,32,train
237,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238146145-155717.JPG,108,train
238,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238146228-7545.JPG,89,train
239,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238146323-7558.JPG,25,train
240,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238146452-305157.JPG,5,train
241,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238146598-7573.JPG,87,train
242,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238147002-305198.JPG,25,train
243,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238147470-155819.JPG,13,train
244,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238147496-229991.JPG,18,train
245,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238147504-81933.JPG,75,train
246,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238147748-7667.JPG,23,train
247,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238147843-7675.JPG,59,train
248,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238147967-305283.JPG,50,train
249,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238148027-305286.JPG,109,train
250,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238148047-305287.JPG,69,train
251,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238148139-81970.JPG,97,train
252,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238148427-305312.JPG,15,train
253,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238148729-82007.JPG,110,train
254,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238148891-230069.JPG,57,train
255,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238149119-82038.JPG,4,train
256,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238149324-82061.JPG,5,train
257,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238149433-7786.JPG,56,train
258,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238149964-82110.JPG,106,train
259,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238150054-82120.JPG,109,train
260,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238150064-82122.JPG,111,train
261,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238150175-156004.JPG,67,train
262,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238150356-230182.JPG,6,train
263,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238150387-305420.JPG,8,train
264,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238150475-156022.JPG,66,train
265,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238150853-7876.JPG,21,train
266,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238150853-7877.JPG,21,train
267,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238150955-156065.JPG,27,train
268,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238150996-230223.JPG,24,train
269,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238151126-230231.JPG,98,train
270,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238151180-156078.JPG,74,train
271,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238151203-7902.JPG,17,train
272,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238151236-230240.JPG,112,train
273,/work1/niejep/SummerSchoolChallenge2022/fungiimages/DF20M/2238151390-156091.JPG,113,train
